Job Title,Company,Location,Job Type,Work Location,Level,Years of Experience,Time Posted
Logistics Manager (Permittee),"My Truck Logistics, LLC   -","Cairo, Egypt",Full Time,Remote,Logistics Manager (Permittee),NAN,1 hour ago
Fork Lift Operator (Ladies only),Emirates Logistics L.L.C -,"Dubai, United Arab Emirates",Full Time,NAN,Fork Lift Operator (Ladies only),NAN,38 minutes ago
AI Automation Specialist / Architect,sandan AI -,"Dubai, United Arab Emirates",Full Time,NAN,AI Automation Specialist / Architect,NAN,38 minutes ago
Engineer - Data & Analytics - Customer Experience & Engagement - Dubai Holding Community Management,Jumeirah -,"Dubai, United Arab Emirates",Full Time,NAN,Engineer - Data & Analytics - Customer Experience & Engagement - Dubai Holding Community Management,NAN,38 minutes ago
Graphic Designer - Customer Experience & Engagement - Dubai Holding Community Management,Jumeirah -,"Dubai, United Arab Emirates",Full Time,NAN,Graphic Designer - Customer Experience & Engagement - Dubai Holding Community Management,NAN,38 minutes ago
Senior Officer - Corporate Services - Dubai Holding Community Management,Jumeirah -,"Dubai, United Arab Emirates",Full Time,NAN,Senior Officer - Corporate Services - Dubai Holding Community Management,NAN,38 minutes ago
Welding Engineer,EPIC Piping -,"Dubai, United Arab Emirates",Full Time,NAN,Welding Engineer,NAN,38 minutes ago
Senior Accountant - Account Receivable - UAEN - Dubai Holding Community Management,Jumeirah -,"Dubai, United Arab Emirates",Full Time,NAN,Senior Accountant - Account Receivable - UAEN - Dubai Holding Community Management,NAN,38 minutes ago
Customer Support Representative,Etisalat Egypt -,"Maadi, Cairo, Egypt",Full Time,On-site,Customer Support Representative,NAN,4 minutes ago
Logistics Dispatcher.,"My Truck Logistics, LLC   -","Cairo, Egypt",Full Time,Remote,Logistics Dispatcher.,NAN,23 minutes ago
Outpatient Pharmacist,Cleopatra Hospitals Group -,"Mohandessin, Giza, Egypt",Full Time,On-site,Outpatient Pharmacist,NAN,53 minutes ago
Video Editor and Graphic Designer (Remote),Confidential -,"Cairo, Egypt",Full Time,Remote,Video Editor and Graphic Designer (Remote),NAN,1 hour ago
Customer Service Representative - Tamheer,Greenfix Property Care -,"Riyadh, Saudi Arabia",Full Time,NAN,Customer Service Representative - Tamheer,NAN,1 hour ago
Assistant Laundry Manager,Greenfix Property Care -,"Riyadh, Saudi Arabia",Full Time,NAN,Assistant Laundry Manager,NAN,1 hour ago
Boutique Supervisor/Senior Sales,Glow Beauty on Demand -,"Riyadh, Saudi Arabia",Full Time,NAN,Boutique Supervisor/Senior Sales,NAN,1 hour ago
Regional Manager (m/f/d) Saudi Arabia,Glow Beauty on Demand -,"Riyadh, Saudi Arabia",Full Time,NAN,Regional Manager (m/f/d) Saudi Arabia,NAN,1 hour ago
Guest Arrival Expert,Urban Ridge Supplies -,"Riyadh, Saudi Arabia",Full Time,NAN,Guest Arrival Expert,NAN,1 hour ago
